neighborhood,ndvi_mean_1km,ndvi_pct_valid,lst_mean_c,lst_pct_valid
Moss Park,0.3773425221443176,22.22222222222222,31.933074951171875,22.22222222222222
Regent Park,0.44624000787734985,16.666666666666664,32.0433349609375,16.666666666666664
Cabbagetown-South St. James Town,0.7309134006500244,11.11111111111111,30.944398880004883,11.11111111111111
South Riverdale,0.4386655390262604,11.25,26.27916145324707,11.25
Blake-Jones,0.48795488476753235,33.33333333333333,31.085678100585938,33.33333333333333
North Riverdale,0.5939928293228149,11.11111111111111,30.4566650390625,11.11111111111111
Playter Estates-Danforth,0.5760655999183655,25.0,30.243412017822266,25.0
Danforth,0.4854946434497833,10.0,33.410003662109375,10.0
Greenwood-Coxwell,0.514361560344696,18.75,31.187482833862305,18.75
Woodbine Corridor,0.5967535376548767,12.5,32.095855712890625,12.5
The Beaches,0.646868884563446,23.809523809523807,29.3415584564209,19.047619047619047
East End Danforth,0.5169115662574768,15.0,31.89897346496582,15.0
Taylor Massey,0.6292233467102051,16.666666666666664,31.24941635131836,16.666666666666664
Woodbine-Lumsden,0.509941041469574,11.11111111111111,31.886924743652344,11.11111111111111
Danforth-East York,0.4608727693557739,13.333333333333334,32.502784729003906,13.333333333333334
Old East York,0.558525562286377,20.0,31.531221389770508,20.0
Runnymede-Bloor West Village,0.5306597948074341,16.666666666666664,30.811838150024414,16.666666666666664
High Park North,0.6637731790542603,12.5,31.023332595825195,12.5
High Park-Swansea,0.6658963561058044,40.0,29.128999710083008,40.0
Roncesvalles,0.5737106800079346,11.11111111111111,28.485485076904297,11.11111111111111
South Parkdale,0.4925834834575653,22.22222222222222,26.33269500732422,22.22222222222222
Little Portugal,0.4533862769603729,16.666666666666664,31.041606903076172,16.666666666666664
Dufferin Grove,0.39015892148017883,22.22222222222222,32.43871307373047,22.22222222222222
Trinity-Bellwoods,0.4421815872192383,50.0,33.876216888427734,50.0
Don Valley Village,0.5416088104248047,20.833333333333336,31.353076934814453,20.833333333333336
Pleasant View,0.5218518376350403,15.0,32.109466552734375,15.0
Flemingdon Park,0.5453953146934509,15.0,30.643564224243164,15.0
Victoria Village,0.5213227868080139,24.0,31.275400161743164,24.0
Banbury-Don Mills,0.5984424352645874,30.555555555555557,31.03789710998535,30.555555555555557
Bridle Path-Sunnybrook-York Mills,0.6968927979469299,52.0,31.187192916870117,52.0
St.Andrew-Windfields,0.5676954984664917,33.33333333333333,31.52199363708496,33.33333333333333
Bedford Park-Nortown,0.560060441493988,12.5,33.090633392333984,12.5
Lansing-Westgate,0.6738718152046204,20.0,31.885028839111328,20.0
Willowdale West,0.5560122132301331,20.0,31.881704330444336,20.0
Newtonbrook West,0.5555385947227478,20.833333333333336,32.84050369262695,20.833333333333336
Westminster-Branson,0.5879290103912354,16.0,32.847625732421875,16.0
Bathurst Manor,0.5742548108100891,24.0,33.98217010498047,24.0
Clanton Park,0.5144345760345459,16.666666666666664,32.24589538574219,16.666666666666664
Englemount-Lawrence,0.4970736503601074,16.0,34.018463134765625,16.0
Yorkdale-Glen Park,0.3794146478176117,23.333333333333332,34.1032829284668,23.333333333333332
Brookhaven-Amesbury,0.4714142382144928,22.22222222222222,33.25342559814453,22.22222222222222
Maple Leaf,0.474994033575058,26.666666666666668,33.65740203857422,26.666666666666668
Rustic,0.5326600074768066,16.666666666666664,33.586395263671875,16.666666666666664
York University Heights,0.4636034369468689,29.629629629629626,33.29691696166992,29.629629629629626
Glenfield-Jane Heights,0.48778995871543884,20.0,34.1082878112793,20.0
Broadview North,0.5948633551597595,16.666666666666664,30.33279800415039,16.666666666666664
Leaside-Bennington,0.6377220749855042,8.333333333333332,31.981903076171875,8.333333333333332
Thorncliffe Park,0.4824567437171936,41.66666666666667,32.37578201293945,41.66666666666667
O'Connor-Parkview,0.5692933201789856,20.833333333333336,30.690027236938477,20.833333333333336
Henry Farm,0.4708844721317291,26.666666666666668,31.756763458251953,26.666666666666668
Bayview Village,0.6200351119041443,25.0,32.222843170166016,25.0
Newtonbrook East,0.5933820605278015,20.0,33.0516242980957,20.0
Bayview Woods-Steeles,0.6424731612205505,25.0,31.7878475189209,25.0
Hillcrest Village,0.5426608324050903,29.166666666666668,31.677274703979492,29.166666666666668
Alderwood,0.47980764508247375,28.000000000000004,31.32707405090332,28.000000000000004
Long Branch,0.5897369384765625,10.0,28.086151123046875,10.0
New Toronto,0.46447277069091797,25.0,29.64505386352539,25.0
Stonegate-Queensway,0.6076604723930359,30.0,31.64323616027832,30.0
Kingsway South,0.657258927822113,6.666666666666667,31.663331985473633,6.666666666666667
Etobicoke West Mall,0.4981495440006256,22.22222222222222,31.978660583496094,22.22222222222222
Markland Wood,0.575842022895813,41.66666666666667,32.77052688598633,41.66666666666667
Eringate-Centennial-West Deane,0.5827776789665222,22.916666666666664,32.176143646240234,22.916666666666664
Princess-Rosethorn,0.6503086090087891,30.0,32.0849494934082,30.0
Edenbridge-Humber Valley,0.6657177209854126,26.666666666666668,31.904359817504883,26.666666666666668
Humber Heights-Westmount,0.5804338455200195,12.5,32.90715026855469,12.5
Willowridge-Martingrove-Richview,0.5622526407241821,28.57142857142857,32.96553039550781,28.57142857142857
Kingsview Village-The Westway,0.5550522804260254,17.857142857142858,33.54323959350586,17.857142857142858
Elms-Old Rexdale,0.6452575325965881,33.33333333333333,32.23117446899414,33.33333333333333
Rexdale-Kipling,0.5705519914627075,16.666666666666664,32.69706726074219,16.666666666666664
Thistletown-Beaumond Heights,0.5909203886985779,25.0,32.66838455200195,25.0
Mount Olive-Silverstone-Jamestown,0.5172584652900696,16.666666666666664,33.307106018066406,16.666666666666664
West Humber-Clairville,0.4135470986366272,31.818181818181817,32.77113723754883,31.818181818181817
Black Creek,0.46596604585647583,25.0,34.57060241699219,25.0
Pelmo Park-Humberlea,0.49845486879348755,20.0,31.83437156677246,20.0
Humbermede,0.5110012888908386,30.0,32.318416595458984,30.0
Humber Summit,0.3518231511116028,28.125,33.07999801635742,28.125
